,specise,sex,index,frontal_lobe,rear_width,carapace_midline,maximum_width,body_depth,class
0,blue,male,1,8.1,6.7,16.1,19.0,7.0,bluemale
1,blue,male,2,8.8,7.7,18.1,20.8,7.4,bluemale
2,blue,male,3,9.2,7.8,19.0,22.4,7.7,bluemale
3,blue,male,4,9.6,7.9,20.1,23.1,8.2,bluemale
4,blue,male,5,9.8,8.0,20.3,23.0,8.2,bluemale
5,blue,male,6,10.8,9.0,23.0,26.5,9.8,bluemale
6,blue,male,7,11.1,9.9,23.8,27.1,9.8,bluemale
7,blue,male,8,11.6,9.1,24.5,28.4,10.4,bluemale
8,blue,male,9,11.8,9.6,24.2,27.8,9.7,bluemale
9,blue,male,10,11.8,10.5,25.2,29.3,10.3,bluemale
10,blue,male,11,12.2,10.8,27.3,31.6,10.9,bluemale
11,blue,male,12,12.3,11.0,26.8,31.5,11.4,bluemale
12,blue,male,13,12.6,10.0,27.7,31.7,11.4,bluemale
13,blue,male,14,12.8,10.2,27.2,31.8,10.9,bluemale
14,blue,male,15,12.8,10.9,27.4,31.5,11.0,bluemale
15,blue,male,16,12.9,11.0,26.8,30.9,11.4,bluemale
16,blue,male,17,13.1,10.6,28.2,32.3,11.0,bluemale
17,blue,male,18,13.1,10.9,28.3,32.4,11.2,bluemale
18,blue,male,19,13.3,11.1,27.8,32.3,11.3,bluemale
19,blue,male,20,13.9,11.1,29.2,33.3,12.1,bluemale
20,blue,male,21,14.3,11.6,31.3,35.5,12.7,bluemale
21,blue,male,22,14.6,11.3,31.9,36.4,13.7,bluemale
22,blue,male,23,15.0,10.9,31.4,36.4,13.2,bluemale
23,blue,male,24,15.0,11.5,32.4,37.0,13.4,bluemale
24,blue,male,25,15.0,11.9,32.5,37.2,13.6,bluemale
25,blue,male,26,15.2,12.1,32.3,36.7,13.6,bluemale
26,blue,male,27,15.4,11.8,33.0,37.5,13.6,bluemale
27,blue,male,28,15.7,12.6,35.8,40.3,14.5,bluemale
28,blue,male,29,15.9,12.7,34.0,38.9,14.2,bluemale
29,blue,male,30,16.1,11.6,33.8,39.0,14.4,bluemale
30,blue,male,31,16.1,12.8,34.9,40.7,15.7,bluemale
31,blue,male,32,16.2,13.3,36.0,41.7,15.4,bluemale
32,blue,male,33,16.3,12.7,35.6,40.9,14.9,bluemale
33,blue,male,34,16.4,13.0,35.7,41.8,15.2,bluemale
34,blue,male,35,16.6,13.5,38.1,43.4,14.9,bluemale
35,blue,male,36,16.8,12.8,36.2,41.8,14.9,bluemale
36,blue,male,37,16.9,13.2,37.3,42.7,15.6,bluemale
37,blue,male,38,17.1,12.6,36.4,42.0,15.1,bluemale
38,blue,male,39,17.1,12.7,36.7,41.9,15.6,bluemale
39,blue,male,40,17.2,13.5,37.6,43.9,16.1,bluemale
40,blue,male,41,17.7,13.6,38.7,44.5,16.0,bluemale
41,blue,male,42,17.9,14.1,39.7,44.6,16.8,bluemale
42,blue,male,43,18.0,13.7,39.2,44.4,16.2,bluemale
43,blue,male,44,18.8,15.8,42.1,49.0,17.8,bluemale
44,blue,male,45,19.3,13.5,41.6,47.4,17.8,bluemale
45,blue,male,46,19.3,13.8,40.9,46.5,16.8,bluemale
46,blue,male,47,19.7,15.3,41.9,48.5,17.8,bluemale
47,blue,male,48,19.8,14.2,43.2,49.7,18.6,bluemale
48,blue,male,49,19.8,14.3,42.4,48.9,18.3,bluemale
49,blue,male,50,21.3,15.7,47.1,54.6,20.0,bluemale
50,blue,female,1,7.2,6.5,14.7,17.1,6.1,bluefemale
51,blue,female,2,9.0,8.5,19.3,22.7,7.7,bluefemale
52,blue,female,3,9.1,8.1,18.5,21.6,7.7,bluefemale
53,blue,female,4,9.1,8.2,19.2,22.2,7.7,bluefemale
54,blue,female,5,9.5,8.2,19.6,22.4,7.8,bluefemale
55,blue,female,6,9.8,8.9,20.4,23.9,8.8,bluefemale
56,blue,female,7,10.1,9.3,20.9,24.4,8.4,bluefemale
57,blue,female,8,10.3,9.5,21.3,24.7,8.9,bluefemale
58,blue,female,9,10.4,9.7,21.7,25.4,8.3,bluefemale
59,blue,female,10,10.8,9.5,22.5,26.3,9.1,bluefemale
60,blue,female,11,11.0,9.8,22.5,25.7,8.2,bluefemale
61,blue,female,12,11.2,10.0,22.8,26.9,9.4,bluefemale
62,blue,female,13,11.5,11.0,24.7,29.2,10.1,bluefemale
63,blue,female,14,11.6,11.0,24.6,28.5,10.4,bluefemale
64,blue,female,15,11.6,11.4,23.7,27.7,10.0,bluefemale
65,blue,female,16,11.7,10.6,24.9,28.5,10.4,bluefemale
66,blue,female,17,11.9,11.4,26.0,30.1,10.9,bluefemale
67,blue,female,18,12.0,10.7,24.6,28.9,10.5,bluefemale
68,blue,female,19,12.0,11.1,25.4,29.2,11.0,bluefemale
69,blue,female,20,12.6,12.2,26.1,31.6,11.2,bluefemale
70,blue,female,21,12.8,11.7,27.1,31.2,11.9,bluefemale
71,blue,female,22,12.8,12.2,26.7,31.1,11.1,bluefemale
72,blue,female,23,12.8,12.2,27.9,31.9,11.5,bluefemale
73,blue,female,24,13.0,11.4,27.3,31.8,11.3,bluefemale
74,blue,female,25,13.1,11.5,27.6,32.6,11.1,bluefemale
75,blue,female,26,13.2,12.2,27.9,32.1,11.5,bluefemale
76,blue,female,27,13.4,11.8,28.4,32.7,11.7,bluefemale
77,blue,female,28,13.7,12.5,28.6,33.8,11.9,bluefemale
78,blue,female,29,13.9,13.0,30.0,34.9,13.1,bluefemale
79,blue,female,30,14.7,12.5,30.1,34.7,12.5,bluefemale
80,blue,female,31,14.9,13.2,30.1,35.6,12.0,bluefemale
81,blue,female,32,15.0,13.8,31.7,36.9,14.0,bluefemale
82,blue,female,33,15.0,14.2,32.8,37.4,14.0,bluefemale
83,blue,female,34,15.1,13.3,31.8,36.3,13.5,bluefemale
84,blue,female,35,15.1,13.5,31.9,37.0,13.8,bluefemale
85,blue,female,36,15.1,13.8,31.7,36.6,13.0,bluefemale
86,blue,female,37,15.2,14.3,33.9,38.5,14.7,bluefemale
87,blue,female,38,15.3,14.2,32.6,38.3,13.8,bluefemale
88,blue,female,39,15.4,13.3,32.4,37.6,13.8,bluefemale
89,blue,female,40,15.5,13.8,33.4,38.7,14.7,bluefemale
90,blue,female,41,15.6,13.9,32.8,37.9,13.4,bluefemale
91,blue,female,42,15.6,14.7,33.9,39.5,14.3,bluefemale
92,blue,female,43,15.7,13.9,33.6,38.5,14.1,bluefemale
93,blue,female,44,15.8,15.0,34.5,40.3,15.3,bluefemale
